time;error
0;0.000429861
0.135;0.000529861
0.235;0.000629861
0.321;0.000729861
0.341;0.000733485
0.398;0.0021861
0.442;0.00219848
0.535;0.00684531
0.551;0.00709015
0.622;0.00934997
0.665;0.0125413
0.734;0.0170506
0.736;0.0188767
0.813;0.0191136
0.889;0.0216948
0.895;0.023767
0.949;0.0245733
0.993;0.024752
1.1037;0.0249459
1.1099;0.023564
1.1155;0.0208092
1.1220;0.0184867
1.1265;0.0148612
1.1310;0.0118395
1.1344;0.00956804
1.1405;0.00834802
1.1457;0.00652871
1.1499;0.00548026
1.1562;0.00520149
1.1620;0.00450753
1.1656;0.00437735
1.1733;0.00353544
1.1781;0.00328076
1.1816;0.00285291
1.1872;0.00224019
1.1929;0.00202737
1.1978;0.00151123
2.2016;0.00124984
2.2067;0.000410981
2.2128;0.000279576
2.2174;-0.000295566
2.2216;-0.000652057
2.2263;-0.0011753
2.2324;-0.00137189
2.2378;-0.00159167
2.2410;-0.00175119
2.2449;-0.00149121
2.2530;0.000450519
2.2578;0.000896086
2.2600;0.00203943
2.2695;0.00362931
2.2700;0.00443031
2.2745;0.00456728
2.2835;0.00557008
2.2849;0.00658894
2.2940;0.00761584
2.2945;0.00845196
2.2998;0.00927039
3.3053;0.010649
3.3128;0.0110494
3.3178;0.0125089
3.3203;0.0138751
3.3285;0.0159045
3.3301;0.0172249
3.3366;0.0225007
3.3406;0.0255409
3.3462;0.0365046
3.3551;0.0500941
3.3551;0.0560587
3.3598;0.068837
3.3678;0.0835571
3.3706;0.0964321
3.3756;0.102568
3.3815;0.104974
3.3866;0.10633
3.3915;0.0978442
3.3956;0.0986781
4.4002;0.0912521
4.4051;0.0864985
4.4110;0.0826993
4.4158;0.0800494
4.4220;0.0784746
4.4270;0.0779643
4.4312;0.0792736
4.4372;0.0886441
4.4416;0.0955947
4.4470;0.103314
4.4502;0.115778
4.4553;0.131115
4.4624;0.132363
4.4669;0.141025
4.4726;0.135494
4.4754;0.133469
4.4801;0.127813
4.4865;0.10933
4.4930;0.0964424
4.4971;0.0862632
5.5004;0.0729491
5.5050;0.0589996
5.5140;0.0437034
5.5145;0.034545
5.5220;0.0340411
5.5265;0.0200722
5.5318;0.0148764
5.5356;0.009879
5.5406;0.00721478
5.5477;0.00405517
5.5534;0.00248227
5.5579;0.00133269
5.5610;-0.000124593
5.5662;-0.00181
5.5697;-0.00295701
5.5769;-0.00343685
5.5816;-0.00396554
5.5858;-0.00440573
5.5906;-0.00390915
5.5961;-0.00367808
6.6010;-0.00201734
6.6069;0.000114285
6.6134;0.00163155
6.6148;0.0045675
6.6253;0.00475963
6.6325;0.00710944
6.6385;0.00682224
6.6446;0.00636678
6.6494;0.00604396
6.6506;0.00517691
6.6574;0.00428193
6.6612;0.00343589
6.6703;0.00300639
6.6705;0.00177292
6.6760;0.00109471
6.6833;0.000263267
6.6867;-0.000267889
6.6936;-0.00113237
6.6977;-0.00174439
7.7034;-0.00182342
7.7058;-0.00202677
7.7143;-0.00190753
7.7185;-0.001871
7.7223;-0.00176716
7.7273;-0.00159612
7.7346;-0.00159175
7.7369;-0.00156616
7.7427;-0.000643217
7.7461;0.00146175
7.7562;0.00571766
7.7562;0.0108562
7.7632;0.0170171
7.7674;0.0207976
7.7718;0.0311627
7.7759;0.0463514
7.7851;0.0620822
7.7856;0.0751943
7.7908;0.0809772
7.7959;0.106316
8.8078;0.10765
8.8085;0.118548
8.8129;0.117773
8.8164;0.114418
8.8231;0.114421
8.8262;0.108128
8.8329;0.104234
8.8382;0.102749
8.8424;0.103749
8.8504;0.10772
8.8511;0.113106
8.8561;0.117076
8.8614;0.122531
8.8658;0.120624
8.8736;0.125006
8.8778;0.121564
8.8835;0.11838
8.8860;0.110935
8.8921;0.0993708
8.8969;0.0919586
9.9049;0.0818583
9.9074;0.0718961
9.9138;0.0553372
9.9189;0.0476326
9.9223;0.0403383
9.9269;0.0359753
9.9354;0.0291274
9.9360;0.0250603
9.9453;0.0248916
9.9462;0.0208308
9.9511;0.020344
9.9578;0.0185973
9.9613;0.0183607
9.9702;0.0175718
9.9722;0.017997
9.9788;0.0164232
9.9823;0.0162339
9.9865;0.0153449
9.9943;0.0144421
9.9981;0.0137523
10.10019;0.0131413
10.10065;0.0133676
10.10142;0.0117129
10.10165;0.0114234
10.10218;0.0111872
10.10268;0.01087
10.10341;0.00917603
10.10383;0.00886145
10.10452;0.00716692
10.10466;0.00608342
10.10547;0.00596451
10.10579;0.0100381
10.10655;0.0180124
10.10670;0.0200579
10.10738;0.0261608
10.10770;0.029826
10.10820;0.0333152
10.10892;0.0331251
10.10933;0.0345179
10.10975;0.0311022
11.11055;0.0324539
11.11069;0.0339102
11.11131;0.0440573
11.11169;0.0581262
11.11228;0.0760797
11.11290;0.0799916
11.11338;0.0987359
11.11370;0.11327
11.11431;0.129622
11.11483;0.138537
11.11533;0.143957
11.11625;0.147607
11.11662;0.173729
11.11702;0.185373
11.11758;0.186234
11.11804;0.182167
11.11902;0.192237
11.11902;0.177765
11.11961;0.173995
12.12012;0.168526
12.12061;0.166713
12.12119;0.157381
12.12139;0.140572
12.12190;0.141445
12.12263;0.101122
12.12294;0.0770609
12.12352;0.0593202
12.12399;0.0233401
12.12453;0.00348986
12.12503;0.00110238
12.12552;-0.0425533
12.12625;-0.0543997
12.12695;-0.0637532
12.12700;-0.066321
12.12769;-0.0672518
12.12809;-0.0651104
12.12867;-0.0561345
12.12913;-0.0374911
12.12973;-0.0372242
12.12995;-0.0327028
13.13061;-0.0235111
13.13109;0.0233488
13.13158;0.0429274
13.13235;0.0702763
13.13245;0.0770698
13.13348;0.0889124
13.13411;0.0914113
13.13412;0.0851031
13.13461;0.079801
13.13513;0.0746689
13.13545;0.070778
13.13598;0.0712217
13.13691;0.0207068
13.13704;0.0090496
13.13771;-0.0103605
13.13825;-0.0283426
13.13869;-0.0403704
13.13903;-0.0469504
13.13945;-0.0487383
14.14029;-0.0492807
14.14111;-0.0475271
14.14112;-0.0425818
14.14158;-0.0358492
14.14205;-0.0342715
14.14245;-0.0318463
14.14299;-0.00155919
14.14397;0.0184858
14.14440;0.0308558
14.14463;0.03734
14.14498;0.0390295
14.14591;0.0407513
14.14637;0.0534934
14.14702;0.0536986
14.14744;0.0565194
14.14783;0.059098
14.14836;0.0578089
14.14882;0.0580885
14.14939;0.0553042
14.14989;0.0494906
15.15037;0.0426197
15.15088;0.0301177
15.15223;0.0297832
15.15267;0.00519306
15.15325;-0.00913116
15.15395;-0.0109101
15.15403;-0.0237705
15.15458;-0.0278874
15.15506;-0.0261774
15.15553;-0.024144
15.15643;-0.00948524
15.15644;-0.00102444
15.15712;0.0123662
15.15746;0.0194629
15.15798;0.041766
15.15871;0.0620581
15.15922;0.0823124
16.16002;0.0956211
16.16004;0.125104
16.16061;0.1592
16.16114;0.200135
16.16195;0.239585
16.16195;0.280192
16.16273;0.306679
16.16318;0.308254
16.16402;0.265892
16.16405;0.242422
16.16472;0.193169
16.16518;0.170089
16.16569;0.151914
16.16613;0.11725
16.16676;0.0979998
16.16729;0.0881958
16.16772;0.0835071
16.16830;0.0749836
16.16865;0.0649855
16.16918;0.0595524
16.16955;0.0584249
17.17005;0.052872
17.17074;0.0445395
17.17122;0.0406437
17.17152;0.0372877
17.17267;0.0258157
17.17268;0.0216107
17.17322;0.0101549
17.17351;0.0079696
17.17427;-0.00729749
17.17473;-0.0146663
17.17526;-0.0204637
17.17548;-0.023057
17.17665;-0.0303289
17.17667;-0.0321984
17.17721;-0.0341293
17.17785;-0.0356935
17.17803;-0.0377203
17.17877;-0.0366363
17.17926;-0.0348727
17.17971;-0.0352298
18.18018;-0.0329546
18.18068;-0.0318695
18.18109;-0.0263635
18.18186;-0.0217314
18.18226;-0.0170833
18.18266;-0.01225
18.18318;-0.0114246
18.18355;-0.0121481
18.18407;-0.0152863
18.18470;-0.0200179
18.18520;-0.0252822
18.18585;-0.0278511
18.18653;-0.0457501
18.18662;-0.0497608
18.18705;-0.0593212
18.18776;-0.0799777
18.18821;-0.0896759
18.18893;-0.10034
18.18961;-0.115159
18.18968;-0.126644
19.19033;-0.127859
19.19082;-0.138531
19.19111;-0.144401
19.19175;-0.147477
19.19234;-0.147895
19.19286;-0.149149
19.19311;-0.148429
19.19372;-0.147659
19.19457;-0.145523
19.19463;-0.145752
19.19527;-0.142538
19.19579;-0.144353
19.19622;-0.139645
19.19686;-0.141268
19.19751;-0.142675
19.19758;-0.143106
19.19834;-0.144093
19.19878;-0.152288
19.19963;-0.159828
19.19965;-0.178148
20.20030;-0.189057
20.20074;-0.214179
20.20129;-0.227238
20.20154;-0.234641
20.20242;-0.251735
20.20282;-0.754008
20.20334;-0.890178
20.20377;-1.02835
20.20442;-1.09194
20.20458;-1.1485
20.20508;-1.19598
20.20558;-1.23295
0.315;0.0943925
0.331;0.0943925
0.410;0.0943925
0.494;0.0943925
0.514;-0.00162524
0.608;-0.00260665
0.610;-0.00083875
0.684;0.00702204
0.731;0.0125089
0.798;0.0144557
0.846;0.0161912
0.875;0.0194337
0.919;0.0203323
0.996;0.0202948
1.1071;0.0202557
1.1122;0.0218609
1.1197;0.021481
1.1212;0.0210417
1.1263;0.0185276
1.1310;0.0163844
1.1340;0.0134877
1.1405;0.0105744
1.1466;0.00939467
1.1542;0.00654514
1.1543;0.0064312
1.1640;0.00632132
1.1709;0.00293477
1.1775;0.00240931
1.1784;0.00153141
1.1830;0.00127378
1.1919;0.00105536
1.1929;0.00087619
1.1969;0.000725698
2.2026;0.000663996
2.2122;0.000650467
2.2192;0.000284675
2.2222;0.000129427
2.2275;-6.0342e-05
2.2343;-0.000247141
2.2379;-0.000289098
2.2427;-0.00038959
2.2474;-0.000401576
2.2522;-0.000482982
2.2564;-0.000509457
2.2630;-0.000524417
2.2667;-0.000196396
2.2735;0.000948504
2.2754;0.00124249
2.2804;0.0013128
2.2862;0.00193001
2.2938;0.00542775
2.2984;0.00607935
3.3035;0.00676421
3.3086;0.00663395
3.3106;0.00684638
3.3190;0.00715927
3.3206;0.00731866
3.3283;0.00730226
3.3330;0.0078641
3.3354;0.00790221
3.3404;0.00794299
3.3477;0.0100782
3.3577;0.011358
3.3599;0.0129903
3.3619;0.0144642
3.3666;0.0199897
3.3715;0.0248269
3.3769;0.0328507
3.3842;0.0419692
3.3890;0.0574517
3.3915;0.0610599
3.3972;0.0664383
4.4004;0.0677269
4.4064;0.0803458
4.4162;0.0789105
4.4168;0.0732148
4.4215;0.0673978
4.4313;0.0553509
4.4313;0.0496749
4.4365;0.0460948
4.4472;0.0414704
4.4472;0.040794
4.4546;0.0402043
4.4560;0.0415202
4.4635;0.0520537
4.4709;0.0639667
4.4710;0.0671343
4.4786;0.0867435
4.4851;0.101977
4.4859;0.116389
4.4909;0.123603
4.4984;0.13273
5.5021;0.127706
5.5075;0.114718
5.5122;0.1141
5.5198;0.0924533
5.5209;0.0910918
5.5278;0.0897958
5.5317;0.0380973
5.5397;0.0219635
5.5413;0.0113527
5.5466;0.00962437
5.5510;0.00885882
5.5600;0.00954278
5.5614;0.0106247
5.5691;0.0120018
5.5750;0.0133074
5.5759;0.0135289
5.5856;0.0136537
5.5933;0.0135969
5.5964;0.0121768
6.6027;0.0114051
6.6070;0.0106128
6.6123;0.00853011
6.6136;0.00693341
6.6211;0.0042564
6.6262;0.00342647
6.6303;0.0032851
6.6350;0.00372742
6.6387;0.00431246
6.6481;0.0043582
6.6568;0.00596026
6.6603;0.00649652
6.6616;0.00656239
6.6683;0.00632823
6.6724;0.00454563
6.6771;0.00248676
6.6840;0.000859859
6.6886;0.000655546
6.6913;0.000421679
6.6993;-0.000478638
7.7016;-0.00210103
7.7114;-0.00302012
7.7185;-0.00330355
7.7185;-0.00334199
7.7234;-0.00329795
7.7278;-0.00309066
7.7337;-0.00301137
7.7387;-0.00268906
7.7434;-0.00252533
7.7463;-0.00210682
7.7543;-0.000621772
7.7589;0.000368444
7.7664;0.00109738
7.7668;0.0014544
7.7713;0.00170459
7.7799;0.00191928
7.7858;0.00315933
7.7862;0.00498057
7.7918;0.0102874
7.7971;0.0183227
8.8040;0.0192582
8.8094;0.027964
8.8133;0.0404102
8.8178;0.0412835
8.8214;0.042259
8.8281;0.0696975
8.8340;0.0841193
8.8390;0.0892026
8.8451;0.0928403
8.8507;0.0902392
8.8536;0.0863313
8.8603;0.0765532
8.8626;0.063883
8.8687;0.0586578
8.8742;0.0526769
8.8826;0.0524808
8.8826;0.052093
8.8877;0.0628671
8.8920;0.0738201
9.9010;0.0813197
9.9066;0.0866231
9.9070;0.0899151
9.9122;0.089803
9.9201;0.088095
9.9250;0.0839645
9.9314;0.0710718
9.9321;0.0664045
9.9404;0.0620092
9.9449;0.0576093
9.9513;0.0270258
9.9599;0.0201341
9.9611;0.0165769
9.9667;0.0173585
9.9719;0.0187653
9.9797;0.0229406
9.9843;0.0271916
9.9850;0.0299117
9.9926;0.0335496
10.10010;0.0354436
10.10010;0.0352265
10.10089;0.0355529
10.10130;0.0332011
10.10183;0.028469
10.10235;0.0269393
10.10283;0.0205532
10.10339;0.0173437
10.10406;0.0113925
10.10409;0.0105958
10.10490;0.00953206
10.10550;0.00175667
10.10640;0.000562096
10.10643;0.000103441
10.10704;-0.00310123
10.10774;-0.00334114
10.10830;-0.00331406
10.10855;-0.0027011
10.10895;-0.000343033
10.10946;0.00225333
10.10995;0.00879845
11.11054;0.014241
11.11127;0.0202414
11.11174;0.0278571
11.11263;0.0285988
11.11354;0.0349027
11.11396;0.0340801
11.11447;0.0306316
11.11478;0.0280074
11.11521;0.0272537
11.11567;0.0313664
11.11621;0.037177
11.11679;0.0562091
11.11762;0.0657577
11.11768;0.0809911
11.11854;0.0831994
11.11932;0.100113
11.11992;0.115371
12.12034;0.125541
12.12082;0.131922
12.12144;0.13576
12.12190;0.135313
12.12219;0.129006
12.12276;0.121943
12.12326;0.10732
12.12371;0.0992365
12.12414;0.0981111
12.12454;0.09712
12.12533;0.100187
12.12568;0.101806
12.12647;0.0962323
12.12654;0.0951312
12.12708;0.0782773
12.12772;0.0559491
12.12812;0.0502468
12.12882;0.0247152
12.12930;0.00793761
12.12954;0.00445524
13.13067;0.0022855
13.13125;-0.0362405
13.13141;-0.046912
13.13194;-0.0582922
13.13246;-0.0619886
13.13294;-0.0564618
13.13342;-0.0486143
13.13419;-0.0226247
13.13455;-0.00853624
13.13531;0.0130604
13.13574;0.0341581
13.13587;0.0368256
13.13637;0.0392287
13.13704;0.0424703
13.13773;0.0728643
13.13815;0.0728799
13.13875;0.0716925
13.13925;0.0586148
13.13979;0.0411139
13.13987;0.0309596
14.14087;0.00175364
14.14092;-0.0106215
14.14162;-0.0193468
14.14218;-0.0240235
14.14237;-0.0255451
14.14304;-0.0279268
14.14373;-0.0210843
14.14429;-0.0140477
14.14478;-0.00664851
14.14519;-0.0033394
14.14574;0.00285113
14.14621;0.00831324
14.14685;0.0131753
14.14689;0.0185541
14.14783;0.019229
14.14830;0.0241886
14.14836;0.0242862
14.14887;0.0243753
14.14943;0.0221447
15.15016;0.017658
15.15055;0.0144889
15.15127;0.0128958
15.15175;0.0125247
15.15214;0.0105726
15.15259;0.0113543
15.15297;0.0126036
15.15377;0.0168828
15.15387;0.0215804
15.15536;0.0222558
15.15605;0.0268198
15.15642;0.0259642
15.15686;0.0223741
15.15718;0.0221071
15.15758;0.0130315
15.15803;0.00651548
15.15878;-0.000575912
15.15934;-0.00124318
15.15949;-0.00176912
16.16000;-0.00222236
16.16072;0.00675246
16.16122;0.0141737
16.16157;0.0187185
16.16202;0.0215194
16.16250;0.0258586
16.16311;0.0329071
16.16367;0.0407725
16.16418;0.0521023
16.16450;0.0559943
16.16541;0.0576689
16.16612;0.127645
16.16680;0.147048
16.16722;0.156727
16.16764;0.2772
16.16830;0.318107
16.16875;0.311499
16.16918;0.294154
16.16971;0.266484
16.16999;0.229117
17.17050;0.20905
17.17146;0.178323
17.17147;0.15954
17.17196;0.14645
17.17267;0.138455
17.17283;0.137422
17.17363;0.127003
17.17428;0.0716429
17.17474;0.0616257
17.17527;0.0375549
17.17562;0.0232409
17.17624;0.0170778
17.17633;0.00757908
17.17695;-0.000690518
17.17760;-0.00711481
17.17790;-0.00906442
17.17834;-0.00927102
17.17884;-0.0100057
17.17973;-0.0118172
18.18006;-0.0171105
18.18057;-0.0172676
18.18107;-0.0174005
18.18162;-0.0161426
18.18206;-0.0160679
18.18258;-0.0142492
18.18307;-0.0133541
18.18350;-0.0113528
18.18390;-0.00894817
18.18435;-0.00807945
18.18484;-0.00757181
18.18539;-0.00693515
18.18621;-0.00566023
18.18669;-0.00533642
18.18719;-0.00509121
18.18771;-0.00490906
18.18789;-0.0045298
18.18869;-0.00430684
18.18915;-0.00618916
18.18943;-0.0104541
19.19020;-0.0118974
19.19036;-0.0138211
19.19087;-0.0141364
19.19138;-0.0260107
19.19212;-0.0384058
19.19301;-0.0495756
19.19301;-0.0506089
19.19347;-0.0586908
19.19398;-0.064759
19.19437;-0.0685487
19.19520;-0.0690845
19.19566;-0.096662
19.19626;-0.107521
19.19674;-0.11133
19.19720;-0.111917
19.19796;-0.119057
19.19836;-0.118867
19.19890;-0.120037
19.19939;-0.118328
20.20020;-0.116012
20.20021;-0.112529
20.20116;-0.10799
20.20123;-0.107411
20.20190;-0.0999219
20.20226;-0.097517
20.20287;-0.0928621
20.20322;-0.0921245
20.20386;-0.0913648
20.20463;-0.0772638
20.20503;-0.0730683
20.20538;-0.0718605
20.20612;-0.0666765
20.20658;-0.0658821
20.20681;-0.0676235
20.20741;-0.0684653
20.20787;-0.0857877
20.20838;-0.127253
20.20873;-0.143552
20.20926;-0.164998
21.21008;1.49576
21.21081;0.811214
21.21085;0.535737
21.21130;0.358575
21.21174;0.258581
21.21272;0.130222
21.21278;0.0498161
21.21355;0.0385064
21.21399;-0.0175252
21.21483;-0.0353401
21.21563;-0.0358028
21.21610;-0.0342419
21.21668;-0.0265568
21.21723;-0.0175268
21.21770;-0.00946845
21.21800;-0.00839576
21.21886;-0.00269307
21.21890;0.00102616
21.21936;0.00318185
22.22018;0.00531918
22.22083;0.0207509
22.22087;0.0251181
22.22154;0.0347615
22.22188;0.0363626
22.22261;0.0377519
22.22315;0.0374472
22.22400;0.03714
22.22400;0.0369393
22.22449;0.0365108
22.22514;0.0364928
22.22559;0.0366536
22.22605;0.0366706
22.22654;0.0366989
22.22686;0.0367077
22.22759;0.0367139
22.22824;0.0368397
22.22892;0.0368884
22.22894;0.0369163
22.22955;0.036891
23.23006;0.0369468
23.23043;0.0369333
23.23127;0.0369443
23.23138;0.0369459
23.23237;0.0369578
23.23240;0.0369404
23.23288;0.0369515
23.23371;0.0369503
23.23407;0.0369328
23.23469;0.0369874
23.23514;0.0370003
23.23560;0.0370401
23.23631;0.0370753
23.23638;0.0370782
23.23748;0.0371566
